aeropuerto_origen,aeropuerto_destino,distancia_entre_aeropuertos
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.1433, 'longitud': -96.1733}",3182
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",7349
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.0365, 'longitud': -86.8769}",6992
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 40.6397, 'longitud': -73.7789}",5752
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 22.1536, 'longitud': -100.9267}",5546
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",6387
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",3252
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 52.3105, 'longitud': 4.7683}",6537
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",7839
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",8153
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 33.9425, 'longitud': -118.407}",4631
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.308, 'longitud': 113.9154}",7051
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 52.3105, 'longitud': 4.7683}",6198
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -34.6037, 'longitud': -58.3711}",7527
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 49.0128, 'longitud': 2.5489}",3338
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 49.0128, 'longitud': 2.5489}",6148
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",4970
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",2859
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 25.7854, 'longitud': -100.1077}",8228
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 50.0333, 'longitud': 8.5705}",7418
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 33.9425, 'longitud': -118.407}",9959
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.7025, 'longitud': -102.8639}",6135
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",3137
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': -33.9461, 'longitud': 151.1771}",926
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 49.0128, 'longitud': 2.5489}",4113
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 51.47, 'longitud': -0.4543}",7406
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.4363, 'longitud': -99.0721}",8154
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 21.0365, 'longitud': -86.8769}",4524
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 35.7647, 'longitud': 140.3864}",9389
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 19.1433, 'longitud': -96.1733}",6123
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.1433, 'longitud': -96.1733}",5854
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 50.0333, 'longitud': 8.5705}",6709
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': -33.9461, 'longitud': 151.1771}",2925
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.4363, 'longitud': -99.0721}",1363
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",4019
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.1433, 'longitud': -96.1733}",9646
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",7630
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 16.7658, 'longitud': -99.7639}",8332
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",9153
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",7036
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 25.7854, 'longitud': -100.1077}",574
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",847
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 40.6397, 'longitud': -73.7789}",2220
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 33.9425, 'longitud': -118.407}",6595
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.1433, 'longitud': -96.1733}",9963
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 32.5362, 'longitud': -117.0203}",9894
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -34.6037, 'longitud': -58.3711}",5413
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",9521
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",1045
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",7522
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 35.7647, 'longitud': 140.3864}",728
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': -34.6037, 'longitud': -58.3711}",6615
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",6031
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 33.9425, 'longitud': -118.407}",4548
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",1944
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.9942, 'longitud': -101.4797}",3241
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 49.0128, 'longitud': 2.5489}",7165
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 21.7025, 'longitud': -102.8639}",8404
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 25.7854, 'longitud': -100.1077}",3889
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.1433, 'longitud': -96.1733}",8794
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 33.9425, 'longitud': -118.407}",7834
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",1187
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 51.47, 'longitud': -0.4543}",8728
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 52.3105, 'longitud': 4.7683}",9382
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",948
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.1433, 'longitud': -96.1733}",8189
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 22.1536, 'longitud': -100.9267}",2482
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",7606
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 25.7854, 'longitud': -100.1077}",3294
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 20.9942, 'longitud': -101.4797}",1741
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 25.7854, 'longitud': -100.1077}",615
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 49.0128, 'longitud': 2.5489}",5808
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.5225, 'longitud': -103.3097}",3656
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",1155
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 22.308, 'longitud': 113.9154}",4924
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.4363, 'longitud': -99.0721}",8734
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",1915
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.4363, 'longitud': -99.0721}",7546
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.1433, 'longitud': -96.1733}",8252
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 22.1536, 'longitud': -100.9267}",1151
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 50.0333, 'longitud': 8.5705}",5810
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 16.7658, 'longitud': -99.7639}",7128
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 21.7025, 'longitud': -102.8639}",3925
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.308, 'longitud': 113.9154}",2038
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 22.1536, 'longitud': -100.9267}",5909
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.308, 'longitud': 113.9154}",7714
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.4363, 'longitud': -99.0721}",2236
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 21.7025, 'longitud': -102.8639}",9942
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -33.9461, 'longitud': 151.1771}",6897
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 32.5362, 'longitud': -117.0203}",8845
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.7025, 'longitud': -102.8639}",2008
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 32.5362, 'longitud': -117.0203}",2384
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 52.3105, 'longitud': 4.7683}",3587
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.1433, 'longitud': -96.1733}",9634
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",9770
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 32.5362, 'longitud': -117.0203}",5751
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.1536, 'longitud': -100.9267}",8356
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",8267
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 49.0128, 'longitud': 2.5489}",6425
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.0365, 'longitud': -86.8769}",1044
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 35.7647, 'longitud': 140.3864}",6811
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -34.6037, 'longitud': -58.3711}",8348
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",5926
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 35.7647, 'longitud': 140.3864}",6170
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 16.7658, 'longitud': -99.7639}",8703
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 40.6397, 'longitud': -73.7789}",6255
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 16.7658, 'longitud': -99.7639}",6790
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",5274
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 35.7647, 'longitud': 140.3864}",1419
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",6668
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",4843
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",9834
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 32.5362, 'longitud': -117.0203}",8469
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 19.1433, 'longitud': -96.1733}",2362
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",2576
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.5225, 'longitud': -103.3097}",6551
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': -34.6037, 'longitud': -58.3711}",7097
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 33.9425, 'longitud': -118.407}",2167
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.9942, 'longitud': -101.4797}",8581
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",7496
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 49.0128, 'longitud': 2.5489}",7839
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 35.7647, 'longitud': 140.3864}",2878
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 35.7647, 'longitud': 140.3864}",3800
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 32.5362, 'longitud': -117.0203}",1721
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 32.5362, 'longitud': -117.0203}",5747
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 21.0365, 'longitud': -86.8769}",8022
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 25.7854, 'longitud': -100.1077}",4535
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 40.6397, 'longitud': -73.7789}",9526
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 52.3105, 'longitud': 4.7683}",9291
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 51.47, 'longitud': -0.4543}",1300
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 19.1433, 'longitud': -96.1733}",4850
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 21.0365, 'longitud': -86.8769}",7190
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 40.6397, 'longitud': -73.7789}",2774
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -33.9461, 'longitud': 151.1771}",3012
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 40.6397, 'longitud': -73.7789}",1905
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 32.5362, 'longitud': -117.0203}",6478
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.7025, 'longitud': -102.8639}",5318
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.7025, 'longitud': -102.8639}",8379
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 40.6397, 'longitud': -73.7789}",7190
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 40.6397, 'longitud': -73.7789}",770
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -33.9461, 'longitud': 151.1771}",3752
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 25.7854, 'longitud': -100.1077}",7132
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 32.5362, 'longitud': -117.0203}",9895
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 25.7854, 'longitud': -100.1077}",8310
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 33.9425, 'longitud': -118.407}",2260
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 50.0333, 'longitud': 8.5705}",9703
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -34.6037, 'longitud': -58.3711}",656
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",8562
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 33.9425, 'longitud': -118.407}",6176
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 20.5225, 'longitud': -103.3097}",7664
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 35.7647, 'longitud': 140.3864}",3677
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 25.7854, 'longitud': -100.1077}",7921
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.1433, 'longitud': -96.1733}",4449
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",9560
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -34.6037, 'longitud': -58.3711}",4030
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",4045
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",8231
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 49.0128, 'longitud': 2.5489}",871
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 33.9425, 'longitud': -118.407}",2597
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': -34.6037, 'longitud': -58.3711}",4685
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 33.9425, 'longitud': -118.407}",9679
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 49.0128, 'longitud': 2.5489}",8049
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 50.0333, 'longitud': 8.5705}",3237
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 25.7854, 'longitud': -100.1077}",6517
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.308, 'longitud': 113.9154}",6826
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",1261
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 49.0128, 'longitud': 2.5489}",6569
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 50.0333, 'longitud': 8.5705}",3527
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 32.5362, 'longitud': -117.0203}",3174
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 20.5225, 'longitud': -103.3097}",2227
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 25.7854, 'longitud': -100.1077}",7026
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.9942, 'longitud': -101.4797}",6757
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.5225, 'longitud': -103.3097}",6802
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.9942, 'longitud': -101.4797}",2945
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 25.7854, 'longitud': -100.1077}",2949
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 20.5225, 'longitud': -103.3097}",9511
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 21.0365, 'longitud': -86.8769}",1221
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.7025, 'longitud': -102.8639}",5867
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 22.308, 'longitud': 113.9154}",9284
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.1433, 'longitud': -96.1733}",2905
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",1447
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",7774
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': -34.6037, 'longitud': -58.3711}",5357
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 52.3105, 'longitud': 4.7683}",8403
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 21.7025, 'longitud': -102.8639}",1661
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.1433, 'longitud': -96.1733}",2590
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 50.0333, 'longitud': 8.5705}",7422
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 21.7025, 'longitud': -102.8639}",7352
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",7729
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 32.5362, 'longitud': -117.0203}",3121
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 50.0333, 'longitud': 8.5705}",4532
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 52.3105, 'longitud': 4.7683}",7847
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 20.5225, 'longitud': -103.3097}",6728
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 21.0365, 'longitud': -86.8769}",8034
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -34.6037, 'longitud': -58.3711}",8040
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 51.47, 'longitud': -0.4543}",3526
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': -33.9461, 'longitud': 151.1771}",6967
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 40.6397, 'longitud': -73.7789}",1613
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",867
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",9444
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.0365, 'longitud': -86.8769}",7198
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 52.3105, 'longitud': 4.7683}",516
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 22.308, 'longitud': 113.9154}",1601
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 21.7025, 'longitud': -102.8639}",4413
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.0365, 'longitud': -86.8769}",5728
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 40.6397, 'longitud': -73.7789}",6915
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 22.308, 'longitud': 113.9154}",9267
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.7025, 'longitud': -102.8639}",1091
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 21.7025, 'longitud': -102.8639}",6479
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.7025, 'longitud': -102.8639}",5440
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 33.9425, 'longitud': -118.407}",9269
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 22.1536, 'longitud': -100.9267}",5745
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 16.7658, 'longitud': -99.7639}",7038
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 32.5362, 'longitud': -117.0203}",5000
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.308, 'longitud': 113.9154}",8378
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 50.0333, 'longitud': 8.5705}",1139
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 40.6397, 'longitud': -73.7789}",1403
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.7025, 'longitud': -102.8639}",5288
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",9886
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 32.5362, 'longitud': -117.0203}",9911
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.1433, 'longitud': -96.1733}",8403
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 21.7025, 'longitud': -102.8639}",5576
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 35.7647, 'longitud': 140.3864}",3331
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 49.0128, 'longitud': 2.5489}",8365
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.0365, 'longitud': -86.8769}",803
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 51.47, 'longitud': -0.4543}",8624
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 22.1536, 'longitud': -100.9267}",6416
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",1694
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",7957
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 25.7854, 'longitud': -100.1077}",7744
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 49.0128, 'longitud': 2.5489}",8283
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 35.7647, 'longitud': 140.3864}",1083
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",2422
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.0365, 'longitud': -86.8769}",6352
